restaurant_name,bar_type,price_level,rating_list,address_list
2. The Committed Pig,"American, Bar",$$ - $$$,4.0,"28 W Park Pl, Morristown, NJ 07960-4099"
9. The Famished Frog,"American, Bar",$$ - $$$,4.0,"18 Washington St, Morristown, NJ 07960-3934"
10. GK's Red Dog Tavern,"American, Bar",$$ - $$$,4.0,"1 Convent Rd, Morristown, NJ 07960-6922"
18. Office Tavern Grill,"American, Bar",$$ - $$$,4.0,"3 South St, Morristown, NJ 07960"
19. End of Elm,"American, Bar",$$ - $$$,4.0,"140 Morris St, Morristown, NJ 07960-4274"
22. Jockey Hollow Bar and Kitchen,"American, Bar",$$$$,3.5,"110 South St, Morristown, NJ 07960-8808"
23. George & Martha's American Grille,"American, Bar",$$ - $$$,4.0,"67 Morris St # 71, Morristown, NJ 07960"
26. Urban Table,"American, Bar",$$ - $$$,3.5,"40 W Park Pl, Morristown, NJ 07960-4338"
35. Stirling Tavern,"American, Bar",$$ - $$$,3.5,"150 South St, Morristown, NJ 07960-4139"
37. Town Bar & Kitchen,"American, Bar",$$ - $$$,4.0,"80 Elm St, Morristown, NJ 07960"
38. Tashmoo Restaurant & Bar,"American, Bar",$$ - $$$,4.0,"8 Dehart St, Morristown, NJ 07960-8205"
39. Iron Bar,"American, Bar",$$ - $$$,4.0,"5 South St, Morristown, NJ 07960-4135"
45. Horseshoe Tavern,"American, Bar",$$ - $$$,4.0,"36 Speedwell Ave, Morristown, NJ 07960-6830"
74. Sona 13,"American, Bar",$$ - $$$,3.5,"13 South St Ste 2, Morristown, NJ 07960-9390"
85. Hbar Morristown,"American, Bar",$$ - $$$,4.0,"194 Park Ave, Morristown, NJ 07960-4649"
34. Dublin Pub,"Irish, Bar",$$ - $$$,3.5,"4 Pine St, Morristown, NJ 07960-4132"
66. Pazzo Pazzo,"Italian, Bar",$$ - $$$,3.5,"74 Speedwell Ave, Morristown, NJ 07960-6830"
