restaurant_name,bar_type,price_level,rating_list,address_list
40. George Street Ale House,"Bar, Pub",$$ - $$$,3.5,"378 George St, New Brunswick, NJ 08901-2004"
277. Golden Lion Inn,"Bar, Pub",$,4.5,"23 S Main St Ste 1, Milltown, NJ 08850-1857"
4. Old Man Rafferty's,"American, Bar",$$ - $$$,4.0,"106 Albany St, New Brunswick, NJ 08901-2106"
5. INC Restaurant,"American, Bar",$$ - $$$,4.5,"302 George St Heldrich Hotel, Corner of George Street & New Street, New Brunswick, NJ 08901-2039"
10. Clydz,"American, Bar",$$ - $$$,4.0,"55 Paterson St, New Brunswick, NJ 08901-2296"
17. Stuff Yer Face,"American, Bar",$,4.0,"49 Easton Ave, New Brunswick, NJ 08901-1830"
26. Houlihan's,"American, Bar",$$ - $$$,4.0,"55 US Highway 1, New Brunswick, NJ 08901-1530"
154. Stage House Tavern,"American, Bar",$$ - $$$,4.0,"1719 Amwell Rd, Somerset, NJ 08873-2746"
231. TGI Fridays,"American, Bar",$$ - $$$,3.5,"993 US Highway 1, North Brunswick, NJ 08902-2712"
243. Hooters,"American, Bar",$$ - $$$,3.5,"195 State Route 18, East Brunswick, NJ 08816-1412"
101. Court Tavern,Pub,,4.5,"124 Church St, New Brunswick, NJ 08901-2002"
133. Olde Queens Tavern,Pub,,3.0,"108 Easton Ave, New Brunswick, NJ 08901-1837"
53. Mike's Courtside Sports Bar and Grill,"Bar, American",$$ - $$$,3.5,"1 Elm Row, New Brunswick, NJ 08901-2133"
