restaurant_name,bar_type,price_level,rating_list,address_list
1. Shea's Cafe & Bakery,American,$$ - $$$,4.5,"626 S New York Rd, Galloway, NJ 08205-9802"
2. Vic's Subs,American,$,4.5,"742 Ohio Avenue, Absecon, NJ 08201"
3. China Sea of Absecon,"Chinese, Asian",$$ - $$$,4.5,"662 White Horse Pike, Absecon, NJ 08201-2302"
4. Sunryser Country Store & Deli,American,$,4.5,"632 N Shore Rd, Absecon, NJ 08201-1328"
5. Phoenix Diner,"American, Diner",$$ - $$$,4.0,"200 W Absecon Blvd, Absecon, NJ 08201-2415"
6. Calabria Pizza & Italian Grill,"Italian, Pizza",$$ - $$$,4.5,"615 New Jersey Ave, Absecon, NJ 08201-2319"
7. Bob's Seafood Market Absecon,Seafood,$$ - $$$,4.5,"Mill Road and Route 30 606 Mill Rd, Absecon, NJ 08201"
8. Denny's,"American, Diner",$$ - $$$,4.0,"242 E White Horse Pike, Absecon, NJ 08205"
9. JJ's Diner,"American, Diner",$,4.5,"610 W Delilah Rd, Pleasantville, NJ 08232-1212"
10. White Horse Wine and Spirits,Specialty Food Market,$$ - $$$,4.5,"676 White Horse Pike, Absecon, NJ 08201-2302"
11. Athenian Garden,"Mediterranean, Greek",$$ - $$$,4.0,"619 S New York Rd, Galloway, NJ 08205-9700"
12. Five Guys,"Quick Bites, American",$,4.5,"720 White Horse Pike, Absecon, NJ 08201-1416"
13. Seaview's Main Dining Room,American,$$ - $$$,4.0,"401 S New York Rd, Absecon, NJ 08205-9753"
14. Mariachi's Mexican Restaurant,Mexican,$$ - $$$,4.0,"200 New Jersey Ave, Absecon, NJ 08201-2411"
15. Hangtime,"American, Bar",$$ - $$$,4.0,"343 E White Horse Pike, Galloway, NJ 08205-9592"
16. Black Cat Bar & Grill,"American, Bar",$$ - $$$,4.0,"1 N Shore Rd, Absecon, NJ 08201-2128"
17. Roman's Pizza House,"Italian, Pizza",$,4.5,"608 Mill Rd, Absecon, NJ 08201-2438"
18. Gilchrist Off Shore,$,,4.5,"734 White Horse Pike, Absecon, NJ 08201-1416"
19. Dairy Queen (Treat),"Dessert, Fast Food",$,4.5,"310 White Horse Pike, Absecon, NJ 08201-9565"
20. Villa Rifici Ristorante,"Pizza, Italian",$$ - $$$,4.0,"308 W Absecon Blvd, Absecon, NJ 08201-2416"
21. The Hook,"Seafood, American",$$ - $$$,4.0,"139 E Faunce Landing Rd, Absecon, NJ 08201-1807"
22. The Cracked Egg Cafe,"American, Cafe",$,4.5,"637 S New York Rd, Galloway, NJ 08205-9700"
23. Rita's Italian Ice,Dessert,$,4.5,"453 White Horse Pike, Absecon, NJ 08201-2445"
24. JO Jo's Oceanville Inn,$,,4.0,"263 S New York Rd, Absecon, NJ 08205-9649"
25. Mountain Fuji,"Japanese, Sushi",$$ - $$$,4.0,"136 W Absecon Blvd, Absecon, NJ 08201-2414"
26. Sack O'Subs,"American, Deli",$,4.0,"784 White Horse Pike, Absecon, NJ 08201-1416"
27. Bagel Gourmet,"Bakeries, Cafe",$,5.0,"323 E Jimmie Leeds Rd Ste 711, Absecon, NJ 08205-4119"
28. Best Food In Town,"Chinese, Asian",$,4.5,"325 E Jimmie Leeds Rd, Absecon, NJ 08205-4126"
29. Pitney Italian Market,"Specialty Food Market, Italian",,4.5,"319 E Jimmie Leeds Rd, Absecon, NJ 08205-4124"
30. Arby's,"Fast Food, American",$,4.0,"674 White Horse Pike, Absecon, NJ 08201-2302"
Athenian Garden,"Mediterranean, Greek",$$ - $$$,4.0,"619 S New York Rd, Galloway, NJ 08205-9700"
31. Romanelli's Garden Cafe,"Italian, American",$$ - $$$,4.0,"279 S New York Rd Route 9, Galloway, NJ 08205-9649"
32. Hi Point Pub,"American, Bar",$$ - $$$,3.5,"5 N Shore Rd, Absecon, NJ 08201"
33. Joe & John's Pizza & Italian,"Italian, Pizza",$$ - $$$,4.0,"136 New Jersey Ave, Absecon, NJ 08201-2434"
34. Carluccio's Coal FIred Pizza,"Italian, Pizza",$$ - $$$,4.5,"1200 New Rd, Northfield, NJ 08225-1232"
35. Friendly Deli,Deli,$,4.5,"151 New Jersey Ave, Absecon, NJ 08201-2408"
36. Gary's Restaurant,American,$,4.5,"845 N New Rd, Pleasantville, NJ 08232-1340"
37. Luscious & Sweet Gourmet Bakery,"Dessert, Cafe",,4.0,"319 S Pitney Rd, Absecon, NJ 08205-9641"
38. Domino's Pizza,Pizza,$,4.0,"782 White Horse Pike, Absecon, NJ 08201-1416"
39. Gourmet Italian Cuisine,"Italian, American",$$ - $$$,4.0,"324 S Pitney Rd, Galloway, NJ 08205-9628"
40. Lindy Hops Homemade Ice Cream,Dessert,$,4.5,"401 S Pitney Rd, Galloway, NJ 08205-9780"
41. Dunkin' Donuts,"Coffee & Tea, Fast Food",$,3.5,"300 E White Horse Pike, Absecon, NJ 08205-9565"
42. All Around Bagel,,,4.5,"680 White Horse Pike, Absecon, NJ 08201-2302"
43. Up The Creek Restaurant,,,5.0,"139 E Faunce Landing Rd, Absecon, NJ 08201-1807"
44. Jo-Jo's Pizza & Restaurant,Pizza,$$ - $$$,3.5,"101 W Jimmie Leeds Rd, Absecon, NJ 08205-9410"
45. Ten Acres Coffee Shop,Coffee & Tea,,4.5,"637 S New York Rd, Absecon, NJ 08205-9700"
46. McDonald's,"Quick Bites, Fast Food",$,3.5,"551 White Horse Pike, Absecon, NJ 08201"
47. Famous Bagel Gourmet,Bakeries,,4.5,"680 White Horse Pike, Absecon, NJ 08201-2302"
48. Back Bay Cafe,,,4.0,"139 E Faunce Landing Rd, Absecon, NJ 08201-1807"
49. Mambo Cafe,"Latin, Central American",$$ - $$$,4.5,"226 S Main St, Pleasantville, NJ 08232-3061"
50. Dunkin',Menu,,5.0,"467 White Horse Pike, Absecon, NJ 08201"
51. Best Food in Town,,,5.0,"792 White Horse Pike, Absecon, NJ 08201-1416"
52. Aroma Touch of Flavors,Indian,$$ - $$$,4.5,"224 E White Horse Pike, Galloway, NJ 08205-9563"
53. Burger King,Fast Food,,3.5,"Absecon Travel Plz, Absecon, NJ 08201"
54. Seaview Inn Grille Room,American,,4.0,"Absecon, NJ"
55. El Tri Color Pizzeria & Mexican Food,"Mexican, Pizza",,4.0,"211 S New Rd, Absecon, NJ 08201-2511"
56. Pizza Hut,Pizza,$$ - $$$,3.5,"335 E White Horse Pike, Absecon, NJ 08205"
57. Tacos el Tio,"Mexican, Southwestern",$$ - $$$,4.5,"6400 Black Horse Pike, Egg Harbor Township, NJ 08234-4521"
58. Tripician Macaroons Bakery & Confectionary,Dessert,$$ - $$$,4.5,"626 S New York Rd Unit 2, Reed's Bay Plaza, Galloway, NJ 08205-9802"
59. McGettigan's 19th Hole-Tavern Under New Ownership,"Bar, Pub",$$ - $$$,4.0,"500 S New York Rd, Galloway, NJ 08205-9720"
60. Oxtail Pho and Banh Mi,"Asian, Vietnamese",$,4.5,"319 E Jimmie Leeds Rd Suite 206, Galloway, NJ 08205-4124"
61. Burger King,"Quick Bites, Fast Food",,3.0,"320 White Horse Pike, Absecon, NJ 08201"
62. Bonefish Grill,"American, Seafood",$$ - $$$,4.0,"3121 Fire Rd Ste F, Egg Harbor Township, NJ 08234-9619"
63. Vic & Anthony's Steakhouse,"American, Steakhouse",$$$$,4.5,"Huron And Brigantine Blvd Huron & Brigantine Blvd., Atlantic City, NJ 08401"
64. Jo Jo's Italian Grille,"Pizza, Italian",$$ - $$$,4.0,"S Main & Black Horse Pike, Pleasantville, NJ 08232"
65. Shore Diner,"American, Diner",$$ - $$$,4.0,"6710 Tilton Rd Pkwy Exit #36, Egg Harbor Township, NJ 08234-4091"
66. Jack and Jill Ice Cream Company,Dessert,,4.5,"2511 Fire Rd, Egg Harbor Township, NJ 08234-5654"
67. LB One Restaurant,"American, Steakhouse",$$ - $$$,4.5,"6605 Black Horse Pike, Egg Harbor Township, NJ 08234-4507"
68. The Historic Smithville Inn,"American, Bar",$$ - $$$,4.0,"1 N New York Rd, Smithville, NJ 08205-3040"
69. Main Event Custard,Dessert,,4.5,"820 N Main St, Pleasantville, NJ 08232"
