restaurant_name,bar_type,price_level,rating_list,address_list
39. Project P.U.B.,"Bar, Pub",$$ - $$$,4.0,"41 N Bridge St, Somerville, NJ 08876-2110"
73. Bridgewater Marriott Martini's Lounge,"Bar, Pub",$$ - $$$,4.0,"700 Commons Way, Bridgewater, NJ 08807-2807"
81. Booker and Zinc American Kitchen,"Bar, Pub",$$ - $$$,4.0,"700 Crossing Blvd, Bridgewater, NJ 08807"
104. Nik's Raritan Pub,"Bar, Pub",$$ - $$$,3.5,"53 W Somerset St, Raritan, NJ 08869-2026"
126. 22 West Tap and Grill,"Bar, Pub",$$ - $$$,4.0,"1601 Route 22, Bridgewater, NJ 08807"
191. The Westbrook,"Bar, Pub",$$ - $$$,4.5,"525 Talmadge Ave, Bound Brook, NJ 08805-1856"
30. Redstone American Grill,"American, Bar",$$ - $$$,3.5,"190 Commons Way, Bridgewater, NJ 08807-2801"
43. Chimney Rock Inn,"American, Bar",$$ - $$$,4.0,"800 Thompson Ave, Bound Brook, NJ 08805-1124"
45. Village Brewing Company,"American, Bar",$$ - $$$,3.5,"34 West Main Street, Somerville, NJ 08876"
62. Buffalo Wild Wings,"American, Bar",$$ - $$$,3.5,"970 US Highway 22, Bridgewater, NJ 08807-2818"
69. Houlihan's,"American, Bar",$$ - $$$,4.0,"1288 US Highway 22, Bridgewater, NJ 08807-2911"
85. Zinburger Wine & Burger Bar,"American, Bar",$$ - $$$,3.5,"550 Somerset Corporate Blvd, Bridgewater, NJ 08807-2856"
92. TGI Fridays,"American, Bar",$$ - $$$,3.0,"395 US Highway 202/206, Bridgewater, NJ 08807"
116. Drewby's Grill Pub,"American, Bar",$$ - $$$,4.0,"16 S Main St, Manville, NJ 08835-1802"
128. Thirsty's Restaurant and Tavern,"American, Bar",$$ - $$$,4.5,"989 US Highway 202 N, Branchburg, NJ 08876-3747"
132. AMC Dine-In Theater,"American, Bar",$$ - $$$,3.0,"Bridgewater Commons, Bridgewater, NJ"
133. Green Knoll Grille,"American, Bar",$$ - $$$,3.5,"645 US Highway 202/206, Bridgewater, NJ 08807-1762"
137. Old Man Rafferty's,"American, Bar",$$ - $$$,3.5,"284 US Highway 206, Hillsborough, NJ 08844-4690"
141. Northside Lounge,"American, Bar",,5.0,"100 Brooks Blvd, Manville, NJ 08835-1448"
153. Stoney Brook Grille,"American, Bar",$$ - $$$,4.0,"1285 State Route 28, Branchburg, NJ 08876"
155. Martinsville Tavern,"American, Bar",$$ - $$$,4.5,"1979 Washington Valley Rd, Martinsville, NJ 08836-2012"
174. Applebee's,"American, Bar",$$ - $$$,3.5,"640 Promenade Blvd, Bridgewater, NJ 08807-3460"
178. 22 West Tap & Grill,"American, Bar",$$ - $$$,3.5,"1601 Route 22 West, Bound Brook, NJ 08805-1280"
183. Petrock's Bar and Grille,"American, Bar",$$ - $$$,4.0,"419 Amwell Rd, Hillsborough, NJ 08844-1206"
207. Applebee's,"American, Bar",$$ - $$$,3.5,"315 US Highway 206 Ste 300, Hillsborough, NJ 08844-4625"
60. Mannion's Irish Restaurant,"Irish, Bar",$$ - $$$,3.5,"150 W Main St, Somerville, NJ 08876-2204"
18. Tapastre,"Bar, American",$$ - $$$,4.0,"1 W High St, Somerville, NJ 08876-2103"
